classifier,Cyber-1 (dual_use vs benign),Cyber-2 (high_risk vs rest),Cyber-3 (prohibited vs rest),Refusal-Gemma,Refusal-Qwen,mean,std,n_tasks_evaluated
Direction-only,0.9549222979688725,0.9249770079513645,0.8272463492713161,0.9284715284715285,0.8490657216494846,0.8969365810625132,0.0495810637267809,5
Logistic Regression,0.9674282908559422,0.9428011024997003,0.8480354772448477,0.9261738261738262,0.838219501718213,0.9045316396985058,0.051919246452259496,5
Decision Tree,0.9545680323376268,0.9100611657442486,0.8405638347634152,0.8672827172827173,0.7492214347079038,0.8643394369671823,0.0693653696136939,5
SVM,0.9650446469352334,0.942094309213503,0.8529661199866179,0.9249750249750249,0.8292525773195877,0.9028665356859934,0.05254100757776362,5
XGBoost,0.9674458307510612,0.9387217557821316,0.8522080696086887,0.9296453546453547,0.8708655498281787,0.911777312123083,0.04328168412093131,5
